Word,Level,Weight,Length,Start,End
medicin,1,12.76144286,1,2009,2009
menstral,1,11.00113915,1,2009,2009
midol,1,10.72764072,1,2009,2009
crampton,1,10.53034982,1,2009,2009
scrapp,1,9.017527685,1,2010,2010
truth,1,8.299789394,1,2009,2009
effect,1,8.141693029,1,2009,2009
singer,1,7.367365397,1,2009,2009
imodium,1,7.321776163,1,2012,2012
protect,1,7.149212795,1,2012,2012
cream,1,6.152111474,1,2009,2009
energi,1,6.022969372,1,2009,2009
crampon,1,5.910050584,1,2009,2009
blote,1,5.888500866,1,2009,2009
kati,1,5.65173783,1,2010,2010
allevi,1,5.642011607,1,2009,2009
skip,1,5.58846014,1,2012,2012
constip,1,5.485562682,1,2012,2012
appetit,1,5.299519856,1,2012,2012
coletrain,1,5.244467352,1,2009,2009
crampz,1,5.19126487,1,2010,2010
pineappl,1,5.164592016,1,2009,2009
method,1,5.157550669,1,2009,2009
lift,1,5.126995757,1,2009,2009
crampus,1,5.115257464,1,2009,2009
burp,1,5.09746115,1,2012,2012
sensit,1,5.065887842,1,2009,2009
findlay,1,5.009008466,1,2010,2010
tast,1,4.924177659,1,2012,2012
semen,1,4.880793609,1,2012,2012
